Motion Sensor Data File Sep 25, 2018 1:54 PM
Time (s)	Velocity (cm/s)
0.000	NaN
0.010	31.433
0.020	29.670
0.030	25.413
0.040	21.930
0.050	20.253
0.060	15.480
0.070	12.040
0.080	9.933
0.090	4.730
0.100	0.903
0.110	-0.430
0.120	-5.977
0.130	-9.030
0.140	-12.857
0.150	-15.480
0.160	-19.737
0.170	-23.220
0.180	-25.327
0.190	-28.810
0.200	-31.777
0.210	-32.637
0.220	-35.690
0.230	-33.497
0.240	-43.000
0.250	-48.117
0.260	-43.000
0.270	-40.377
0.280	-41.237
0.290	-42.140
0.300	-40.377
0.310	-41.710
0.320	-41.237
0.330	-39.130
0.340	-39.947
0.350	-39.517
0.360	-37.410
0.370	-34.787
0.380	-33.970
0.390	-31.347
0.400	-27.520
0.410	-21.887
0.420	-19.780
0.430	-15.437
0.440	-12.900
0.450	-8.987
0.460	-12.040
0.470	-8.987
0.480	-6.020
0.490	0.903
0.500	3.870
0.510	4.343
0.520	11.180
0.530	15.953
0.540	19.780
0.550	23.693
0.560	26.230
0.570	28.810
0.580	31.433
0.590	35.260
0.600	36.163
0.610	38.270
0.620	41.280
0.630	41.323
0.640	42.570
0.650	44.333
0.660	43.860
0.670	44.290
0.680	45.193
0.690	43.430
0.700	42.570
0.710	43.043
0.720	40.420
0.730	38.743
0.740	38.270
0.750	34.830
0.760	32.723
0.770	30.100
0.780	28.423
0.790	24.510
0.800	21.070
0.810	18.963
0.820	14.620
0.830	10.793
0.840	8.600
0.850	3.483
0.860	0.000
0.870	-2.537
0.880	-7.740
0.890	-11.137
0.900	-13.330
0.910	-16.297
0.920	-20.640
0.930	-19.307
0.940	-27.090
0.950	-29.197
0.960	-29.240
0.970	-25.757
0.980	-18.877
0.990	-36.120
1.000	-29.197
1.010	-25.370
1.020	-41.667
1.030	-41.710
1.040	-43.387
1.050	-43.860
1.060	-42.527
1.070	-42.957
1.080	-42.570
1.090	-40.377
1.100	-39.990
1.110	-39.087
1.120	-35.260
1.130	-34.787
1.140	-32.207
1.150	-28.810
1.160	-26.617
1.170	-24.080
1.180	-21.457
1.190	-17.630
1.200	-17.587
1.210	-36.120
1.220	-36.077
1.230	-5.590
1.240	-2.967
1.250	-0.860
1.260	7.353
1.270	10.750
1.280	15.093
1.290	17.200
1.300	19.823
1.310	24.510
1.320	25.800
1.330	28.853
1.340	32.250
1.350	33.583
1.360	35.690
1.370	38.700
1.380	39.173
1.390	40.420
1.400	40.893
1.410	43.430
1.420	41.710
1.430	42.183
1.440	43.430
1.450	42.183
1.460	41.710
1.470	46.010
1.480	52.073
1.490	37.410
1.500	36.550
1.510	33.153
1.520	30.100
1.530	29.283
1.540	24.940
1.550	21.973
1.560	19.780
1.570	15.480
1.580	12.513
1.590	9.890
1.600	5.203
1.610	1.290
1.620	-2.537
1.630	-4.730
1.640	-10.707
1.650	-13.760
1.660	-16.297
1.670	-20.210
1.680	-23.177
1.690	-24.940
1.700	-29.197
1.710	-31.820
1.720	-32.207
1.730	-36.077
1.740	-37.840
1.750	-51.127
1.760	-46.010
1.770	-42.527
1.780	-40.850
1.790	-42.957
1.800	-42.097
1.810	-42.570
1.820	-40.807
1.830	-41.280
1.840	-39.947
1.850	-37.797
1.860	-37.410
1.870	-35.647
1.880	-32.250
1.890	-31.347
1.900	-29.240
1.910	-24.897
1.920	-23.650
1.930	-20.167
1.940	-16.340
1.950	-14.147
1.960	-10.750
1.970	-6.407
1.980	-4.300
1.990	-1.247
2.000	9.890
2.010	10.363
2.020	12.470
2.030	37.883
2.040	24.940
2.050	28.380
2.060	40.033
2.070	27.520
2.080	29.283
2.090	31.820
2.100	34.873
2.110	35.260
2.120	36.980
2.130	39.173
2.140	22.790
2.150	35.303
2.160	40.850
2.170	38.700
2.180	24.553
2.190	36.550
2.200	39.560
2.210	40.033
2.220	39.560
2.230	37.883
2.240	35.260
2.250	34.400
2.260	32.723
2.270	30.960
2.280	28.423
2.290	26.660
2.300	22.403
2.310	19.350
2.320	17.630
2.330	12.943
2.340	9.030
2.350	7.353
2.360	2.580
2.370	-1.247
2.380	-3.440
2.390	-8.557
2.400	-11.610
2.410	-14.147
2.420	-18.490
2.430	-21.887
2.440	-24.940
2.450	-26.187
2.460	-30.530
2.470	-33.067
2.480	-33.497
2.490	-37.410
2.500	-38.657
2.510	-39.130
2.520	-41.237
2.530	-42.570
2.540	-41.667
2.550	-43.387
2.560	-43.860
2.570	-41.667
2.580	-43.000
2.590	-42.097
2.600	-39.560
2.610	-39.517
2.620	-37.797
2.630	-34.830
2.640	-33.497
2.650	-31.390
2.660	-29.197
2.670	-24.510
2.680	-22.747
2.690	-20.210
2.700	-15.007
2.710	-13.330
2.720	-9.847
2.730	-4.730
2.740	-2.967
2.750	0.860
2.760	5.633
2.770	7.740
2.780	11.653
2.790	15.910
2.800	18.103
2.810	21.070
2.820	25.800
2.830	27.133
2.840	29.670
2.850	32.293
2.860	35.260
2.870	36.593
2.880	37.840
2.890	40.420
2.900	40.893
2.910	41.280
2.920	43.430
2.930	42.183
2.940	42.570
2.950	42.613
2.960	41.280
2.970	40.420
2.980	40.463
2.990	37.840
3.000	36.163
3.010	35.260
3.020	31.390
3.030	29.713
3.040	27.520
3.050	23.693
3.060	20.640
3.070	17.630
3.080	15.523
3.090	10.750
3.100	7.353
3.110	5.590
3.120	0.473
3.130	-3.010
3.140	-5.547
3.150	-9.890
3.160	-13.287
3.170	-15.480
3.180	-19.737
3.190	-22.360
3.200	-24.037
3.210	-27.950
3.220	-30.487
3.230	-31.347
3.240	-34.830
3.250	-36.937
3.260	-37.410
3.270	-40.377
3.280	-40.850
3.290	-42.097
3.300	-40.850
3.310	-39.947
3.320	-36.507
3.330	-30.960
3.340	-24.037
3.350	-10.750
3.360	-33.927
3.370	-36.120
3.380	-34.787
3.390	-31.390
3.400	-30.917
3.410	-28.767
3.420	-24.510
3.430	-23.177
3.440	-19.780
3.450	-15.437
3.460	-13.760
3.470	-10.277
3.480	-6.880
3.490	-1.677
3.500	0.430
3.510	4.343
3.520	9.030
3.530	11.180
3.540	14.663
3.550	18.490
3.560	21.113
3.570	23.650
3.580	27.563
3.590	28.380
3.600	30.960
3.610	34.013
3.620	34.400
3.630	13.803
3.640	31.820
3.650	15.953
3.660	36.120
3.670	39.560
3.680	36.163
3.690	41.710
3.700	40.850
3.710	42.183
3.720	39.560
3.730	38.743
3.740	37.840
3.750	34.830
3.760	32.723
3.770	31.820
3.780	28.423
3.790	25.800
3.800	24.123
3.810	20.210
3.820	16.770
3.830	15.093
3.840	10.320
3.850	6.923
3.860	5.160
3.870	0.043
3.880	-3.440
3.890	-6.837
3.900	-9.030
3.910	-13.287
3.920	-16.770
3.930	-18.877
3.940	-22.790
3.950	-25.757
3.960	-27.520
3.970	-30.917
3.980	-33.540
3.990	-33.927
4.000	-37.367
4.010	-38.700
4.020	-38.657
4.030	-41.280
4.040	-41.667
4.050	-40.850
4.060	-42.527
4.070	-42.097
4.080	-40.420
4.090	-41.237
4.100	-39.560
4.110	-38.657
4.120	-36.120
4.130	-35.217
4.140	-33.067
4.150	-30.100
4.160	-28.337
4.170	-25.800
4.180	-22.317
4.190	-19.780
4.200	-17.157
4.210	-12.040
4.220	-10.277
4.230	-6.880
4.240	-1.677
4.250	0.430
4.260	3.483
4.270	8.600
4.280	10.793
4.290	13.330
4.300	18.920
4.310	19.823
4.320	23.220
4.330	26.273
4.340	30.100
4.350	31.003
4.360	33.110
4.370	36.550
4.380	37.023
4.390	38.270
4.400	41.323
4.410	40.850
4.420	41.280
4.430	43.043
4.440	41.280
4.450	41.710
4.460	41.753
4.470	39.990
4.480	38.743
4.490	39.130
4.500	35.690
4.510	34.013
4.520	32.250
4.530	31.003
4.540	27.090
4.550	24.510
4.560	23.263
4.570	18.490
4.580	15.523
4.590	12.900
4.600	9.073
4.610	5.160
4.620	3.053
4.630	-1.720
4.640	-5.117
4.650	-6.880
4.660	-11.997
4.670	-15.050
4.680	-16.727
4.690	-21.500
4.700	-24.037
4.710	-25.800
4.720	-28.767
4.730	-29.670
4.740	-32.207
4.750	-31.820
4.760	-36.507
4.770	-36.937
4.780	-36.120
4.790	-31.777
4.800	-28.810
4.810	-34.357
4.820	-39.130
4.830	-36.077
4.840	-20.210
4.850	-38.657
4.860	-37.797
4.870	-35.690
4.880	-35.647
4.890	-33.540
4.900	-30.487
4.910	-29.670
4.920	-27.047
4.930	-23.650
4.940	-40.377
4.950	-25.370
4.960	-43.817
4.970	-14.147
4.980	-9.890
4.990	-10.277
5.000	-3.870
5.010	1.763
5.020	4.730
5.030	9.460
5.040	11.223
5.050	14.620
5.060	18.963
5.070	20.210
5.080	23.263
5.090	27.090
5.100	27.993
5.110	30.100
5.120	33.110
5.130	34.013
5.140	35.690
5.150	37.023
5.160	39.130
5.170	39.130
5.180	39.603
5.190	40.850
5.200	39.990
5.210	39.603
5.220	39.990
5.230	37.883
5.240	36.980
5.250	38.700
5.260	48.203
5.270	34.830
5.280	31.003
5.290	27.520
5.300	24.940
5.310	23.693
5.320	18.920
5.330	16.383
5.340	14.190
5.350	9.933
5.360	6.450
5.370	3.053
5.380	0.860
5.390	-3.827
5.400	-7.740
5.410	-9.417
5.420	-13.760
5.430	-16.727
5.440	-18.920
5.450	-22.747
5.460	-25.800
5.470	-27.047
5.480	-30.530
5.490	-33.067
5.500	-44.720
5.510	-42.097
5.520	-38.227
5.530	-37.840
5.540	-39.087
5.550	-39.990
5.560	-39.947
5.570	-39.130
5.580	-39.947
5.590	-39.087
5.600	-37.840
5.610	-37.367
5.620	-36.120
5.630	-33.067
5.640	-32.680
5.650	-30.487
5.660	-27.520
5.670	-26.187
5.680	-23.650
5.690	-19.307
5.700	-18.447
5.710	-15.050
5.720	-11.137
5.730	-9.030
5.740	-5.547
5.750	-0.860
5.760	-0.387
5.770	13.330
5.780	8.600
5.790	14.233
5.800	39.990
5.810	23.693
5.820	29.240
5.830	39.560
5.840	26.273
5.850	30.100
5.860	30.573
5.870	32.250
5.880	35.733
5.890	35.260
5.900	34.830
5.910	21.973
5.920	34.400
5.930	37.453
5.940	39.990
5.950	32.680
5.960	23.263
5.970	36.120
5.980	36.593
5.990	36.120
6.000	34.830
6.010	35.303
6.020	30.530
6.030	27.993
6.040	28.810
6.050	24.080
6.060	21.973
6.070	21.070
6.080	17.243
6.090	13.760
6.100	12.083
6.110	7.310
6.120	4.343
6.130	1.720
6.140	-2.580
6.150	-5.977
6.160	-7.740
6.170	-12.857
6.180	-15.437
6.190	-18.920
6.200	-20.597
6.210	-24.510
6.220	-27.047
6.230	-28.380
6.240	-31.777
6.250	-33.970
6.260	-34.357
6.270	-36.980
6.280	-38.227
6.290	-38.227
6.300	-40.420
6.310	-40.377
6.320	-39.560
6.330	-40.807
6.340	-40.420
6.350	-38.657
6.360	-39.087
6.370	-38.270
6.380	-35.217
6.390	-34.830
6.400	-33.067
6.410	-30.960
6.420	-27.047
6.430	-25.800
6.440	-23.607
6.450	-19.350
6.460	-17.157
6.470	-14.147
6.480	-10.320
6.490	-7.697
6.500	-4.730
6.510	0.000
6.520	1.763
6.530	5.160
6.540	9.933
6.550	12.470
6.560	14.663
6.570	19.350
6.580	20.683
6.590	23.650
6.600	27.520
6.610	28.853
6.620	30.960
6.630	33.153
6.640	36.120
6.650	36.163
6.660	37.410
6.670	39.560
6.680	39.173
6.690	39.130
6.700	40.850
6.710	39.603
6.720	39.130
6.730	39.173
6.740	37.410
6.750	36.550
6.760	36.163
6.770	33.110
6.780	31.433
6.790	30.100
6.800	26.660
6.810	23.693
6.820	21.070
6.830	18.963
6.840	15.050
6.850	11.653
6.860	9.890
6.870	6.063
6.880	2.150
6.890	0.043
6.900	-4.300
6.910	-7.267
6.920	-9.890
6.930	-13.717
6.940	-16.770
6.950	-18.447
6.960	-22.790
6.970	-24.897
6.980	-26.660
6.990	-29.197
7.000	-31.390
7.010	-32.207
7.020	-34.830
7.030	-36.507
7.040	-37.797
7.050	-37.840
7.060	-39.517
7.070	-39.990
7.080	-38.657
7.090	-39.560
7.100	-39.087
7.110	-30.530
7.120	-35.217
7.130	-32.207
7.140	-12.900
7.150	-20.167
7.160	-8.170
7.170	-25.327
7.180	-25.370
7.190	-22.747
7.200	-18.490
7.210	-17.157
7.220	-14.620
7.230	-11.137
7.240	-6.880
7.250	-4.687
7.260	-1.290
7.270	3.053
7.280	5.160
7.290	8.213
7.300	12.900
7.310	14.663
7.320	17.630
7.330	21.930
7.340	22.833
7.350	24.940
7.360	28.853
7.370	29.240
7.380	11.223
7.390	28.380
7.400	9.460
7.410	32.723
7.420	37.410
7.430	37.023
7.440	33.110
7.450	38.270
7.460	40.463
7.470	38.700
7.480	37.883
7.490	38.270
7.500	35.690
7.510	34.013
7.520	33.540
7.530	30.573
7.540	27.520
7.550	27.090
7.560	23.263
7.570	20.640
7.580	18.533
7.590	14.620
7.600	11.653
7.610	9.890
7.620	5.203
7.630	2.150
7.640	0.043
7.650	-4.300
7.660	-7.697
7.670	-11.180
7.680	-12.857
7.690	-17.200
7.700	-19.737
7.710	-21.500
7.720	-25.757
7.730	-27.950
7.740	-28.767
7.750	-32.680
7.760	-34.357
7.770	-34.400
7.780	-37.367
7.790	-38.227
7.800	-37.840
7.810	-39.517
7.820	-40.420
7.830	-38.657
7.840	-39.990
7.850	-38.657
7.860	-38.657
7.870	-35.690
7.880	-36.077
7.890	-34.400
7.900	-31.347
7.910	-30.530
7.920	-28.337
7.930	-24.510
7.940	-24.037
7.950	-20.640
7.960	-16.727
7.970	-14.577
7.980	-12.040
7.990	-6.837
8.000	-5.160
8.010	-1.247
8.020	2.580
8.030	4.730
8.040	8.213
8.050	12.470
8.060	14.233
8.070	17.630
8.080	19.823
8.090	24.510
8.100	24.983
8.110	27.950
8.120	31.390
8.130	32.293
8.140	33.970
8.150	36.593
8.160	36.980
8.170	37.840
8.180	40.033
8.190	39.130
8.200	39.603
8.210	40.420
8.220	39.130
8.230	38.313
8.240	38.700
8.250	36.550
8.260	34.873
8.270	33.110
8.280	32.723
8.290	29.240
8.300	27.133
8.310	25.800
8.320	22.360
8.330	19.393
8.340	17.630
8.350	13.373
8.360	10.320
8.370	8.213
8.380	3.440
8.390	0.473
8.400	-1.290
8.410	-5.977
8.420	-9.460
8.430	-11.137
8.440	-15.480
8.450	-18.447
8.460	-19.780
8.470	-24.037
8.480	-26.230
8.490	-28.767
8.500	-27.950
8.510	-31.777
8.520	-30.100
8.530	-33.497
8.540	-35.690
8.550	-35.217
8.560	-30.487
8.570	-25.800
8.580	-32.207
8.590	-35.690
8.600	-34.357
8.610	-17.630
8.620	-33.927
8.630	-35.260
8.640	-33.927
8.650	-30.917
8.660	-30.960
8.670	-29.197
8.680	-25.370
8.690	-24.467
8.700	-21.930
8.710	-19.737
8.720	-30.960
8.730	-23.177
8.740	-16.340
8.750	-29.627
8.760	-5.590
8.770	-1.247
8.780	-0.430
8.790	2.193
8.800	9.030
8.810	13.803
8.820	15.050
8.830	17.673
8.840	21.930
8.850	23.263
8.860	25.370
8.870	28.810
8.880	29.283
8.890	31.390
8.900	32.723
8.910	35.260
8.920	35.260
8.930	36.163
8.940	37.840
8.950	37.453
8.960	37.410
8.970	38.270
8.980	36.593
8.990	36.120
9.000	36.163
9.010	33.540
9.020	32.250
9.030	32.293
9.040	29.240
9.050	27.993
9.060	32.680
9.070	30.960
9.080	21.543
9.090	18.490
9.100	13.803
9.110	10.750
9.120	7.353
9.130	6.020
9.140	1.333
9.150	-2.150
9.160	-3.397
9.170	-8.170
9.180	-11.567
9.190	-13.330
9.200	-17.157
9.210	-20.210
9.220	-21.457
9.230	-25.370
9.240	-27.477
9.250	-31.820
9.260	-44.247
9.270	-35.690
9.280	-33.497
9.290	-36.077
9.300	-36.550
9.310	-37.367
9.320	-36.980
9.330	-37.797
9.340	-38.270
9.350	-36.077
9.360	-36.937
9.370	-35.690
9.380	-33.497
9.390	-33.110
9.400	-31.777
9.410	-28.380
9.420	-28.337
9.430	-25.800
9.440	-22.317
9.450	-21.070
9.460	-18.877
9.470	-14.577
9.480	-12.900
9.490	-9.847
9.500	-5.590
9.510	-3.827
9.520	-0.430
9.530	2.150
9.540	5.633
9.550	13.330
9.560	16.383
9.570	16.770
9.580	18.963
9.590	22.360
9.600	47.343
9.610	30.530
9.620	29.240
9.630	31.863
9.640	31.390
9.650	31.863
9.660	34.400
9.670	34.400
9.680	35.733
9.690	33.970
9.700	21.543
9.710	33.110
9.720	36.120
9.730	35.733
9.740	35.260
9.750	34.873
9.760	35.260
9.770	32.250
9.780	28.853
9.790	29.670
9.800	26.703
9.810	23.650
9.820	23.693
9.830	20.210
9.840	17.630
9.850	15.953
9.860	11.610
9.870	8.643
9.880	6.880
9.890	2.193
9.900	-0.860
9.910	-2.537
9.920	-6.880
9.930	-10.277
9.940	-13.330
9.950	-14.577
9.960	-18.920
9.970	-21.887
9.980	-22.790
9.990	-26.617
10.000	-28.810
10.010	-29.627
10.020	-32.637
10.030	-34.400
10.040	-33.927
10.050	-36.550
10.060	-37.797
10.070	-36.550
10.080	-38.657
10.090	-38.270
10.100	-36.937
10.110	-38.227
10.120	-37.410
10.130	-34.787
10.140	-35.260
10.150	-33.497
10.160	-32.250
10.170	-28.767
10.180	-28.337
10.190	-25.800
10.200	-21.887
10.210	-21.070
10.220	-18.017
10.230	-14.620
10.240	-11.997
10.250	-9.460
10.260	-4.687
10.270	-3.010
10.280	0.473
10.290	4.300
10.300	6.063
10.310	9.460
10.320	13.330
10.330	15.093
10.340	18.060
10.350	21.113
10.360	24.510
10.370	25.843
10.380	28.380
10.390	30.960
10.400	31.863
10.410	33.110
10.420	35.733
10.430	35.690
10.440	36.120
10.450	38.313
10.460	36.980
10.470	37.453
10.480	38.270
10.490	36.550
10.500	36.163
10.510	36.120
10.520	33.583
10.530	31.820
10.540	31.820
10.550	28.853
10.560	26.660
10.570	24.553
10.580	21.930
10.590	18.103
10.600	15.910
10.610	13.803
10.620	9.460
10.630	6.880
10.640	5.203
10.650	0.000
10.660	-2.537
10.670	-4.300
10.680	-8.557
10.690	-11.610
10.700	-13.287
10.710	-17.200
10.720	-19.737
10.730	-21.070
10.740	-24.897
10.750	-27.047
10.760	-27.520
10.770	-30.487
10.780	-32.680
10.790	-33.497
10.800	-33.540
10.810	-35.217
10.820	-36.550
10.830	-35.647
10.840	-37.367
10.850	-37.410
10.860	-36.077
10.870	-36.550
10.880	-35.647
10.890	-33.540
10.900	-33.497
10.910	-25.327
10.920	-25.800
10.930	-24.467
10.940	-6.880
10.950	-10.707
10.960	-9.460
10.970	-3.827
10.980	-14.190
10.990	-10.707
11.000	-9.030
11.010	-5.977
11.020	-1.290
11.030	0.043
11.040	3.440
11.050	7.783
11.060	9.030
11.070	12.040
11.080	15.953
11.090	17.630
11.100	19.823
11.110	23.220
11.120	6.493
11.130	21.500
11.140	28.423
11.150	6.880
11.160	27.950
11.170	33.153
11.180	33.970
11.190	30.573
11.200	34.830
11.210	37.840
11.220	37.023
11.230	36.550
11.240	37.453
11.250	35.690
11.260	34.400
11.270	34.013
11.280	31.390
11.290	30.143
11.300	28.810
11.310	25.370
11.320	23.263
11.330	21.930
11.340	17.673
11.350	15.480
11.360	13.373
11.370	9.890
11.380	6.493
11.390	3.440
11.400	1.763
11.410	-2.580
11.420	-5.977
11.430	-7.740
11.440	-11.567
11.450	-14.620
11.460	-16.297
11.470	-20.210
11.480	-22.317
11.490	-24.080
11.500	-27.047
11.510	-29.670
11.520	-30.057
11.530	-32.680
11.540	-34.357
11.550	-34.357
11.560	-36.550
11.570	-36.937
11.580	-36.550
11.590	-37.367
11.600	-37.840
11.610	-37.367
11.620	-35.690
11.630	-35.647
11.640	-34.787
11.650	-31.820
11.660	-31.777
11.670	-30.100
11.680	-26.617
11.690	-25.800
11.700	-23.607
11.710	-19.780
11.720	-18.017
11.730	-15.480
11.740	-11.567
11.750	-9.460
11.760	-6.407
11.770	-2.580
11.780	0.043
11.790	2.580
11.800	6.063
11.810	9.890
11.820	12.513
11.830	14.190
11.840	18.963
11.850	20.210
11.860	22.403
11.870	26.230
11.880	27.520
11.890	29.283
11.900	32.250
11.910	33.153
11.920	33.970
11.930	36.550
11.940	35.733
11.950	36.550
11.960	38.313
11.970	36.980
11.980	36.980
11.990	37.883
12.000	36.120
12.010	34.873
12.020	33.970
12.030	33.540
12.040	31.003
12.050	28.380
12.060	28.423
12.070	24.080
12.080	22.403
12.090	20.640
12.100	16.770
12.110	14.233
12.120	12.470
12.130	8.213
12.140	5.160
12.150	3.483
12.160	-0.860
12.170	-4.257
12.180	-6.020
12.190	-9.847
12.200	-13.330
12.210	-14.147
12.220	-18.920
12.230	-21.027
12.240	-23.650
12.250	-24.467
12.260	-27.950
12.270	-28.337
12.280	-29.197
12.290	-29.240
12.300	-33.497
12.310	-32.680
12.320	-32.637
12.330	-28.380
12.340	-22.747
12.350	-30.960
12.360	-33.067
12.370	-16.340
12.380	-30.917
12.390	-33.497
12.400	-31.390
12.410	-31.347
12.420	-30.100
12.430	-28.337
12.440	-24.940
12.450	-24.467
12.460	-21.930
12.470	-18.017
12.480	-17.200
12.490	-14.577
12.500	-28.337
12.510	-15.480
12.520	-32.207
12.530	-4.730
12.540	-0.387
12.550	2.580
12.560	1.333
12.570	9.890
12.580	12.900
12.590	16.813
12.600	18.060
12.610	20.683
12.620	24.080
12.630	24.983
12.640	27.090
12.650	28.810
12.660	31.433
12.670	31.390
12.680	32.723
12.690	34.400
12.700	33.970
12.710	34.873
12.720	36.550
12.730	35.303
12.740	34.830
12.750	35.260
12.760	33.583
12.770	32.250
12.780	32.723
12.790	29.670
12.800	27.993
12.810	27.950
12.820	25.370
12.830	24.553
12.840	28.810
12.850	23.693
12.860	14.620
12.870	11.653
12.880	9.890
12.890	5.633
12.900	3.010
12.910	0.860
12.920	-3.397
12.930	-6.450
12.940	-7.697
12.950	-12.470
12.960	-14.577
12.970	-16.770
12.980	-20.167
12.990	-22.747
13.000	-24.940
13.010	-38.227
13.020	-33.970
13.030	-30.487
13.040	-32.250
13.050	-33.497
13.060	-33.970
13.070	-33.927
13.080	-35.647
13.090	-35.690
13.100	-34.787
13.110	-35.690
13.120	-34.787
13.130	-33.540
13.140	-33.497
13.150	-32.207
13.160	-29.670
13.170	-29.627
13.180	-27.090
13.190	-24.037
13.200	-23.650
13.210	-21.027
13.220	-17.200
13.230	-16.297
13.240	-13.760
13.250	-10.707
13.260	-6.880
13.270	-4.687
13.280	-2.150
13.290	2.193
13.300	3.870
13.310	6.493
13.320	10.750
13.330	12.513
13.340	14.620
13.350	22.833
13.360	24.510
13.370	23.220
13.380	26.703
13.390	27.520
13.400	29.283
13.410	32.250
13.420	32.250
13.430	33.583
13.440	35.260
13.450	34.013
13.460	33.970
13.470	34.830
13.480	36.163
13.490	34.830
13.500	34.013
13.510	33.970
13.520	30.573
13.530	31.390
13.540	30.100
13.550	28.423
13.560	27.090
13.570	25.843
13.580	22.790
13.590	20.210
13.600	18.963
13.610	15.480
13.620	12.083
13.630	10.750
13.640	6.923
13.650	3.440
13.660	2.193
13.670	-2.150
13.680	-5.117
13.690	-8.170
13.700	-9.847
13.710	-13.760
13.720	-16.297
13.730	-18.060
13.740	-21.457
13.750	-24.080
13.760	-24.897
13.770	-28.380
13.780	-29.627
13.790	-30.057
13.800	-33.110
13.810	-33.927
13.820	-33.540
13.830	-35.647
13.840	-36.120
13.850	-35.217
13.860	-36.120
13.870	-36.077
13.880	-35.217
13.890	-33.540
13.900	-33.927
13.910	-33.110
13.920	-29.627
13.930	-29.670
13.940	-27.477
13.950	-24.510
13.960	-23.177
13.970	-21.027
13.980	-17.200
13.990	-15.867
14.000	-12.900
14.010	-9.417
14.020	-7.310
14.030	-4.687
14.040	-0.430
14.050	1.763
14.060	4.300
14.070	8.600
14.080	10.363
14.090	12.900
14.100	15.953
14.110	19.350
14.120	21.113
14.130	22.790
14.140	26.703
14.150	27.520
14.160	28.810
14.170	31.863
14.180	31.820
14.190	33.153
14.200	35.690
14.210	34.400
14.220	34.873
14.230	36.120
14.240	35.303
14.250	34.830
14.260	34.830
14.270	34.013
14.280	31.820
14.290	31.003
14.300	31.390
14.310	27.563
14.320	26.230
14.330	24.940
14.340	21.973
14.350	18.490
14.360	17.673
14.370	12.900
14.380	10.793
14.390	9.030
14.400	4.773
14.410	2.150
14.420	0.430
14.430	-3.827
14.440	-6.880
14.450	-8.127
14.460	-12.040
14.470	-15.007
14.480	-16.297
14.490	-19.780
14.500	-21.887
14.510	-24.510
14.520	-25.327
14.530	-27.950
14.540	-29.627
14.550	-30.100
14.560	-32.207
14.570	-33.110
14.580	-33.067
14.590	-34.357
14.600	-34.830
14.610	-33.927
14.620	-34.830
14.630	-34.787
14.640	-33.110
14.650	-33.067
14.660	-31.777
14.670	-29.670
14.680	-26.187
14.690	-22.360
14.700	-24.037
14.710	-18.920
14.720	-15.437
14.730	4.730
14.740	-8.557
14.750	7.310
14.760	-8.987
14.770	-5.160
14.780	-4.257
14.790	-1.290
14.800	3.053
14.810	4.300
14.820	7.353
14.830	11.610
14.840	12.470
14.850	15.523
14.860	18.920
14.870	19.823
14.880	19.350
14.890	7.353
14.900	22.790
14.910	23.263
14.920	7.740
14.930	29.240
14.940	31.003
14.950	32.680
14.960	31.003
14.970	31.820
14.980	34.873
14.990	36.120
15.000	33.970
15.010	34.013
15.020	33.970
15.030	32.293
15.040	30.530
15.050	30.100
15.060	27.563
15.070	25.370
15.080	24.553
15.090	20.640
15.100	18.533
15.110	15.480
15.120	14.190
15.130	10.793
15.140	7.310
15.150	6.063
15.160	1.720
15.170	-1.247
15.180	-2.580
15.190	-6.837
15.200	-9.890
15.210	-11.137
15.220	-15.050
15.230	-17.587
15.240	-19.350
15.250	-22.317
15.260	-24.940
15.270	-25.327
15.280	-28.767
15.290	-30.100
15.300	-30.487
15.310	-33.110
15.320	-33.927
15.330	-34.830
15.340	-33.927
15.350	-35.690
15.360	-35.647
15.370	-34.357
15.380	-34.830
15.390	-34.357
15.400	-32.250
15.410	-32.207
15.420	-30.960
15.430	-27.907
15.440	-27.950
15.450	-25.327
15.460	-21.887
15.470	-21.500
15.480	-18.447
15.490	-14.620
15.500	-13.717
15.510	-10.750
15.520	-6.407
15.530	-5.160
15.540	-1.677
15.550	0.860
15.560	5.633
15.570	6.880
15.580	9.503
15.590	13.760
15.600	15.050
15.610	17.243
15.620	21.500
15.630	22.403
15.640	24.940
15.650	27.993
15.660	28.380
15.670	29.670
15.680	33.153
15.690	32.250
15.700	33.583
15.710	35.690
15.720	34.830
15.730	34.873
15.740	34.830
15.750	36.163
15.760	33.970
15.770	33.540
15.780	34.013
15.790	31.390
15.800	30.143
15.810	29.670
15.820	26.273
15.830	24.080
15.840	23.220
15.850	19.823
15.860	17.200
15.870	15.953
15.880	12.040
15.890	9.073
15.900	7.740
15.910	3.483
15.920	0.860
15.930	-1.247
15.940	-5.160
15.950	-8.127
15.960	-11.180
15.970	-11.997
15.980	-16.340
15.990	-18.877
16.000	-19.780
16.010	-23.177
16.020	-25.370
16.030	-26.187
16.040	-27.520
16.050	-29.627
16.060	-26.660
16.070	-32.207
16.080	-33.067
16.090	-31.390
16.100	-29.627
16.110	-21.500
16.120	-24.037
16.130	-31.820
16.140	-27.477
16.150	-15.050
16.160	-29.627
16.170	-30.100
16.180	-29.197
16.190	-26.617
16.200	-25.800
16.210	-24.037
16.220	-20.210
16.230	-19.737
16.240	-18.060
16.250	-26.187
16.260	-24.080
16.270	-33.497
16.280	-12.040
16.290	-5.117
16.300	-1.720
16.310	-1.247
16.320	2.580
16.330	8.213
16.340	12.040
16.350	13.373
16.360	15.910
16.370	18.103
16.380	21.930
16.390	22.403
