Interference and Diffraction Data File Thu, Nov 22, 2018 1:51 PM
Sensor Position (Meters)	Light Intensity (Volts)
-0.00200	0.00007
-0.00206	-0.00025
-0.00206	0.00329
-0.00206	0.00281
-0.00206	0.00072
-0.00206	-0.00025
-0.00206	-0.00154
-0.00206	-0.00106
-0.00206	0.00104
-0.00206	0.00023
-0.00211	0.00200
-0.00211	0.00217
-0.00211	0.00023
-0.00211	-0.00025
-0.00211	0.00023
-0.00211	0.00023
-0.00211	0.00023
-0.00211	-0.00122
-0.00211	-0.00106
-0.00211	-0.00251
-0.00217	-0.00090
-0.00217	0.00055
-0.00217	-0.00025
-0.00217	-0.00041
-0.00217	-0.00267
-0.00217	-0.00251
-0.00217	-0.00009
-0.00217	-0.00331
-0.00217	-0.00186
-0.00217	-0.00267
-0.00222	-0.00492
-0.00222	-0.00235
-0.00222	-0.00460
-0.00222	-0.00251
-0.00222	-0.00186
-0.00222	-0.00154
-0.00222	-0.00251
-0.00222	-0.00122
-0.00222	-0.00170
-0.00222	-0.00106
-0.00228	-0.00267
-0.00228	0.00088
-0.00228	0.00072
-0.00228	-0.00186
-0.00228	-0.00009
-0.00228	0.00055
-0.00228	0.00088
-0.00228	-0.00299
-0.00228	0.00088
-0.00228	0.00104
-0.00233	-0.00025
-0.00233	0.00329
-0.00233	0.00490
-0.00233	0.00281
-0.00233	0.00265
-0.00233	0.00329
-0.00233	0.00168
-0.00233	0.00345
-0.00233	0.00507
-0.00233	0.00426
-0.00239	0.00136
-0.00239	0.00410
-0.00239	0.00104
-0.00239	0.00055
-0.00239	0.00200
-0.00239	0.00329
-0.00239	-0.00025
-0.00239	0.00023
-0.00239	0.00200
-0.00239	0.00249
-0.00239	0.00023
-0.00244	-0.00025
-0.00244	0.00297
-0.00244	0.00217
-0.00244	-0.00218
-0.00244	-0.00073
-0.00244	-0.00073
-0.00244	-0.00331
-0.00244	-0.00122
-0.00244	0.00055
-0.00250	-0.00444
-0.00250	-0.00009
-0.00250	-0.00090
-0.00250	-0.00251
-0.00250	0.00104
-0.00250	-0.00106
-0.00250	-0.00170
-0.00250	-0.00025
-0.00250	0.00104
-0.00250	-0.00283
-0.00256	0.00055
-0.00256	0.00104
-0.00256	0.00184
-0.00256	0.00039
-0.00256	0.00072
-0.00256	0.00249
-0.00256	0.00281
-0.00256	0.00233
-0.00256	0.00104
-0.00256	0.00120
-0.00256	0.00555
-0.00261	0.00249
-0.00261	0.00635
-0.00261	0.00458
-0.00261	0.00652
-0.00261	0.00555
-0.00261	0.00780
-0.00261	0.00684
-0.00261	0.00571
-0.00261	0.00635
-0.00261	0.00619
-0.00267	0.00700
-0.00267	0.00539
-0.00267	0.00410
-0.00267	0.00635
-0.00267	0.00281
-0.00267	0.00619
-0.00267	0.00152
-0.00267	0.00507
-0.00267	0.00136
-0.00272	0.00281
-0.00272	0.00088
-0.00272	0.00362
-0.00272	0.00136
-0.00272	-0.00283
-0.00272	0.00168
-0.00272	-0.00218
-0.00272	-0.00025
-0.00272	0.00072
-0.00272	-0.00009
-0.00278	-0.00170
-0.00278	-0.00073
-0.00278	0.00055
-0.00278	0.00088
-0.00278	0.00023
-0.00278	0.00136
-0.00278	0.00104
-0.00278	0.00072
-0.00278	-0.00122
-0.00278	0.00055
-0.00283	-0.00251
-0.00283	0.00313
-0.00283	0.00055
-0.00283	-0.00073
-0.00283	0.00168
-0.00283	-0.00090
-0.00283	0.00055
-0.00283	-0.00009
-0.00283	-0.00073
-0.00283	0.00007
-0.00289	0.00072
-0.00289	0.00200
-0.00289	0.00249
-0.00289	0.00410
-0.00289	0.00281
-0.00289	0.00281
-0.00289	0.00603
-0.00289	0.00490
-0.00289	0.00345
-0.00294	0.00571
-0.00294	0.00587
-0.00294	0.00378
-0.00294	0.00732
-0.00294	0.00442
-0.00294	0.00700
-0.00294	0.00442
-0.00294	0.00748
-0.00294	0.00603
-0.00294	0.00490
-0.00294	0.00780
-0.00300	0.00442
-0.00300	0.00587
-0.00300	0.00732
-0.00300	0.00490
-0.00300	0.00329
-0.00300	0.00668
-0.00300	0.00587
-0.00300	0.00249
-0.00300	0.00507
-0.00306	0.00378
-0.00306	0.00458
-0.00306	0.00200
-0.00306	0.00426
-0.00306	0.00184
-0.00306	0.00233
-0.00306	0.00120
-0.00306	0.00233
-0.00306	0.00136
-0.00306	0.00072
-0.00311	0.00039
-0.00311	0.00104
-0.00311	0.00168
-0.00311	0.00249
-0.00311	0.00023
-0.00311	0.00120
-0.00311	0.00152
-0.00311	0.00088
-0.00311	0.00104
-0.00317	0.00217
-0.00317	0.00168
-0.00317	0.00152
-0.00317	0.00233
-0.00317	0.00345
-0.00317	0.00233
-0.00317	0.00329
-0.00317	0.00233
-0.00317	0.00603
-0.00317	0.00329
-0.00322	0.00281
-0.00322	0.00555
-0.00322	0.00474
-0.00322	0.00426
-0.00322	0.00490
-0.00322	0.00523
-0.00322	0.00684
-0.00322	0.00571
-0.00322	0.00587
-0.00322	0.00458
-0.00328	0.00635
-0.00328	0.00523
-0.00328	0.00668
-0.00328	0.00442
-0.00328	0.00764
-0.00328	0.00555
-0.00328	0.00764
-0.00328	0.00684
-0.00328	0.00490
-0.00333	0.00507
-0.00333	0.00136
-0.00333	0.00458
-0.00333	0.00313
-0.00333	0.00265
-0.00333	0.00345
-0.00333	0.00313
-0.00333	0.00200
-0.00333	0.00458
-0.00339	0.00072
-0.00339	0.00249
-0.00339	-0.00057
-0.00339	0.00023
-0.00339	-0.00073
-0.00339	0.00055
-0.00339	0.00281
-0.00339	-0.00041
-0.00339	0.00297
-0.00339	0.00297
-0.00344	0.00120
-0.00344	0.00055
-0.00344	0.00345
-0.00344	0.00249
-0.00344	0.00184
-0.00344	0.00281
-0.00344	0.00490
-0.00344	0.00555
-0.00344	0.00555
-0.00350	0.00507
-0.00350	0.00345
-0.00350	0.00716
-0.00350	0.00410
-0.00350	0.00281
-0.00350	0.00619
-0.00350	0.00362
-0.00350	0.00426
-0.00350	0.00490
-0.00356	0.00668
-0.00356	0.00652
-0.00356	0.00555
-0.00356	0.00587
-0.00356	0.00426
-0.00356	0.00474
-0.00356	0.00507
-0.00356	0.00410
-0.00356	0.00410
-0.00361	0.00458
-0.00361	0.00233
-0.00361	0.00507
-0.00361	0.00313
-0.00361	0.00168
-0.00361	0.00184
-0.00361	0.00184
-0.00361	0.00378
-0.00361	0.00378
-0.00361	0.00700
-0.00367	0.00265
-0.00367	0.00136
-0.00367	0.00007
-0.00367	0.00168
-0.00367	0.00055
-0.00367	0.00120
-0.00367	-0.00025
-0.00367	-0.00138
-0.00367	0.00023
-0.00367	0.00168
-0.00372	-0.00041
-0.00372	0.00023
-0.00372	0.00265
-0.00372	0.00136
-0.00372	-0.00186
-0.00372	0.00378
-0.00372	0.00152
-0.00372	0.00184
-0.00372	0.00297
-0.00378	0.00265
-0.00378	0.00265
-0.00378	0.00378
-0.00378	0.00442
-0.00378	0.00378
-0.00378	0.00297
-0.00378	0.00458
-0.00378	0.00136
-0.00378	0.00329
-0.00383	0.00394
-0.00383	0.00394
-0.00383	0.00523
-0.00383	0.00539
-0.00383	0.00329
-0.00383	0.00265
-0.00383	0.00281
-0.00383	0.00362
-0.00383	0.00410
-0.00383	0.00684
-0.00389	0.00313
-0.00389	0.00523
-0.00389	0.00474
-0.00389	0.00619
-0.00389	0.00265
-0.00389	0.00523
-0.00389	0.00555
-0.00389	0.00587
-0.00389	0.00442
-0.00389	0.00378
-0.00394	0.00233
-0.00394	0.00249
-0.00394	0.00104
-0.00394	0.00490
-0.00394	0.00072
-0.00394	0.00426
-0.00394	0.00426
-0.00394	0.00200
-0.00394	0.00281
-0.00400	0.00055
-0.00400	0.00281
-0.00400	0.00378
-0.00400	0.00007
-0.00400	0.00104
-0.00400	0.00072
-0.00400	-0.00138
-0.00400	0.00313
-0.00400	0.00104
-0.00400	0.00023
-0.00406	0.00104
-0.00406	0.00168
-0.00406	0.00152
-0.00406	0.00184
-0.00406	0.00490
-0.00406	-0.00106
-0.00406	0.00104
-0.00406	0.00265
-0.00406	0.00313
-0.00406	0.00410
-0.00411	0.00233
-0.00411	0.00426
-0.00411	0.00265
-0.00411	0.00378
