Motion Sensor Data File Sep 25, 2018 1:54 PM
Time (s)	Distance (cm)	Dist Error (cm)
0.000	25.334	0.239
0.010	25.648	0.239
0.020	25.945	0.239
0.030	26.199	0.239
0.040	26.418	0.239
0.050	26.621	0.239
0.060	26.776	0.239
0.070	26.896	0.239
0.080	26.995	0.239
0.090	27.043	0.239
0.100	27.052	0.239
0.110	27.047	0.239
0.120	26.988	0.239
0.130	26.897	0.239
0.140	26.769	0.239
0.150	26.614	0.239
0.160	26.417	0.239
0.170	26.184	0.239
0.180	25.931	0.239
0.190	25.643	0.239
0.200	25.325	0.239
0.210	24.999	0.239
0.220	24.642	0.239
0.230	24.307	0.239
0.240	23.877	0.239
0.250	23.396	0.239
0.260	22.966	0.239
0.270	22.562	0.239
0.280	22.150	0.239
0.290	21.728	0.239
0.300	21.325	0.239
0.310	20.907	0.239
0.320	20.495	0.239
0.330	20.104	0.239
0.340	19.704	0.239
0.350	19.309	0.239
0.360	18.935	0.239
0.370	18.587	0.239
0.380	18.247	0.239
0.390	17.934	0.239
0.400	17.659	0.239
0.410	17.440	0.239
0.420	17.242	0.239
0.430	17.088	0.239
0.440	16.959	0.239
0.450	16.869	0.239
0.460	16.748	0.239
0.470	16.659	0.239
0.480	16.598	0.239
0.490	16.607	0.239
0.500	16.646	0.239
0.510	16.690	0.239
0.520	16.801	0.239
0.530	16.961	0.239
0.540	17.159	0.239
0.550	17.396	0.239
0.560	17.658	0.239
0.570	17.946	0.239
0.580	18.260	0.239
0.590	18.613	0.239
0.600	18.975	0.239
0.610	19.357	0.239
0.620	19.770	0.239
0.630	20.183	0.239
0.640	20.609	0.239
0.650	21.052	0.239
0.660	21.491	0.239
0.670	21.934	0.239
0.680	22.386	0.239
0.690	22.820	0.239
0.700	23.246	0.239
0.710	23.676	0.239
0.720	24.080	0.239
0.730	24.468	0.239
0.740	24.851	0.239
0.750	25.199	0.239
0.760	25.526	0.239
0.770	25.827	0.239
0.780	26.111	0.239
0.790	26.356	0.239
0.800	26.567	0.239
0.810	26.757	0.239
0.820	26.903	0.239
0.830	27.011	0.239
0.840	27.097	0.239
0.850	27.132	0.239
0.860	27.132	0.239
0.870	27.106	0.239
0.880	27.029	0.239
0.890	26.918	0.239
0.900	26.784	0.239
0.910	26.621	0.239
0.920	26.415	0.239
0.930	26.222	0.239
0.940	25.951	0.239
0.950	25.659	0.239
0.960	25.367	0.239
0.970	25.109	0.239
0.980	24.920	0.239
0.990	24.559	0.239
1.000	24.267	0.239
1.010	24.013	0.239
1.020	23.597	0.239
1.030	23.180	0.239
1.040	22.746	0.239
1.050	22.307	0.239
1.060	21.882	0.239
1.070	21.452	0.239
1.080	21.027	0.239
1.090	20.623	0.239
1.100	20.223	0.239
1.110	19.832	0.239
1.120	19.479	0.239
1.130	19.132	0.239
1.140	18.809	0.239
1.150	18.521	0.239
1.160	18.255	0.239
1.170	18.014	0.239
1.180	17.800	0.239
1.190	17.624	0.239
1.200	17.448	0.239
1.210	17.086	0.239
1.220	16.726	0.239
1.230	16.670	0.239
1.240	16.640	0.239
1.250	16.632	0.239
1.260	16.705	0.239
1.270	16.813	0.239
1.280	16.963	0.239
1.290	17.135	0.239
1.300	17.334	0.239
1.310	17.579	0.239
1.320	17.837	0.239
1.330	18.125	0.239
1.340	18.448	0.239
1.350	18.784	0.239
1.360	19.141	0.239
1.370	19.528	0.239
1.380	19.919	0.239
1.390	20.324	0.239
1.400	20.732	0.239
1.410	21.167	0.239
1.420	21.584	0.239
1.430	22.006	0.239
1.440	22.440	0.239
1.450	22.862	0.239
1.460	23.279	0.239
1.470	23.739	0.239
1.480	24.260	0.239
1.490	24.634	0.239
1.500	24.999	0.239
1.510	25.331	0.239
1.520	25.632	0.239
1.530	25.925	0.239
1.540	26.174	0.239
1.550	26.394	0.239
1.560	26.592	0.239
1.570	26.746	0.239
1.580	26.872	0.239
1.590	26.970	0.239
1.600	27.022	0.239
1.610	27.035	0.239
1.620	27.010	0.239
1.630	26.963	0.239
1.640	26.856	0.239
1.650	26.718	0.239
1.660	26.555	0.239
1.670	26.353	0.239
1.680	26.121	0.239
1.690	25.872	0.239
1.700	25.580	0.239
1.710	25.262	0.239
1.720	24.940	0.239
1.730	24.579	0.239
1.740	24.200	0.239
1.750	23.689	0.239
1.760	23.229	0.239
1.770	22.804	0.239
1.780	22.395	0.239
1.790	21.966	0.239
1.800	21.545	0.239
1.810	21.119	0.239
1.820	20.711	0.239
1.830	20.298	0.239
1.840	19.899	0.239
1.850	19.521	0.239
1.860	19.147	0.239
1.870	18.790	0.239
1.880	18.468	0.239
1.890	18.154	0.239
1.900	17.862	0.239
1.910	17.613	0.239
1.920	17.376	0.239
1.930	17.175	0.239
1.940	17.011	0.239
1.950	16.870	0.239
1.960	16.762	0.239
1.970	16.698	0.239
1.980	16.655	0.239
1.990	16.643	0.239
2.000	16.742	0.239
2.010	16.845	0.239
2.020	16.970	0.239
2.030	17.349	0.239
2.040	17.598	0.239
2.050	17.882	0.239
2.060	18.282	0.239
2.070	18.558	0.239
2.080	18.850	0.239
2.090	19.169	0.239
2.100	19.517	0.239
2.110	19.870	0.239
2.120	20.240	0.239
2.130	20.631	0.239
2.140	20.859	0.239
2.150	21.212	0.239
2.160	21.621	0.239
2.170	22.008	0.239
2.180	22.253	0.239
2.190	22.619	0.239
2.200	23.014	0.239
2.210	23.415	0.239
2.220	23.810	0.239
2.230	24.189	0.239
2.240	24.542	0.239
2.250	24.886	0.239
2.260	25.213	0.239
2.270	25.523	0.239
2.280	25.807	0.239
2.290	26.073	0.239
2.300	26.298	0.239
2.310	26.491	0.239
2.320	26.667	0.239
2.330	26.797	0.239
2.340	26.887	0.239
2.350	26.961	0.239
2.360	26.986	0.239
2.370	26.974	0.239
2.380	26.939	0.239
2.390	26.854	0.239
2.400	26.738	0.239
2.410	26.596	0.239
2.420	26.411	0.239
2.430	26.193	0.239
2.440	25.943	0.239
2.450	25.681	0.239
2.460	25.376	0.239
2.470	25.045	0.239
2.480	24.710	0.239
2.490	24.336	0.239
2.500	23.950	0.239
2.510	23.558	0.239
2.520	23.146	0.239
2.530	22.720	0.239
2.540	22.304	0.239
2.550	21.870	0.239
2.560	21.431	0.239
2.570	21.015	0.239
2.580	20.585	0.239
2.590	20.164	0.239
2.600	19.768	0.239
2.610	19.373	0.239
2.620	18.995	0.239
2.630	18.647	0.239
2.640	18.312	0.239
2.650	17.998	0.239
2.660	17.706	0.239
2.670	17.461	0.239
2.680	17.233	0.239
2.690	17.031	0.239
2.700	16.881	0.239
2.710	16.748	0.239
2.720	16.649	0.239
2.730	16.602	0.239
2.740	16.572	0.239
2.750	16.581	0.239
2.760	16.637	0.239
2.770	16.715	0.239
2.780	16.831	0.239
2.790	16.990	0.239
2.800	17.171	0.239
2.810	17.382	0.239
2.820	17.640	0.239
2.830	17.911	0.239
2.840	18.208	0.239
2.850	18.531	0.239
2.860	18.883	0.239
2.870	19.249	0.239
2.880	19.628	0.239
2.890	20.032	0.239
2.900	20.441	0.239
2.910	20.854	0.239
2.920	21.288	0.239
2.930	21.710	0.239
2.940	22.136	0.239
2.950	22.562	0.239
2.960	22.974	0.239
2.970	23.379	0.239
2.980	23.783	0.239
2.990	24.162	0.239
3.000	24.523	0.239
3.010	24.876	0.239
3.020	25.190	0.239
3.030	25.487	0.239
3.040	25.762	0.239
3.050	25.999	0.239
3.060	26.205	0.239
3.070	26.382	0.239
3.080	26.537	0.239
3.090	26.645	0.239
3.100	26.718	0.239
3.110	26.774	0.239
3.120	26.779	0.239
3.130	26.749	0.239
3.140	26.693	0.239
3.150	26.594	0.239
3.160	26.461	0.239
3.170	26.307	0.239
3.180	26.109	0.239
3.190	25.886	0.239
3.200	25.645	0.239
3.210	25.366	0.239
3.220	25.061	0.239
3.230	24.747	0.239
3.240	24.399	0.239
3.250	24.030	0.239
3.260	23.656	0.239
3.270	23.252	0.239
3.280	22.843	0.239
3.290	22.422	0.239
3.300	22.014	0.239
3.310	21.614	0.239
3.320	21.249	0.239
3.330	20.940	0.239
3.340	20.699	0.239
3.350	20.592	0.239
3.360	20.253	0.239
3.370	19.891	0.239
3.380	19.543	0.239
3.390	19.230	0.239
3.400	18.920	0.239
3.410	18.633	0.239
3.420	18.388	0.239
3.430	18.156	0.239
3.440	17.958	0.239
3.450	17.804	0.239
3.460	17.666	0.239
3.470	17.563	0.239
3.480	17.495	0.239
3.490	17.478	0.239
3.500	17.482	0.239
3.510	17.526	0.239
3.520	17.616	0.239
3.530	17.728	0.239
3.540	17.874	0.239
3.550	18.059	0.239
3.560	18.270	0.239
3.570	18.507	0.239
3.580	18.782	0.239
3.590	19.066	0.239
3.600	19.376	0.239
3.610	19.716	0.239
3.620	20.060	0.239
3.630	20.198	0.239
3.640	20.516	0.239
3.650	20.676	0.239
3.660	21.037	0.239
3.670	21.432	0.239
3.680	21.794	0.239
3.690	22.211	0.239
3.700	22.620	0.239
3.710	23.042	0.239
3.720	23.437	0.239
3.730	23.825	0.239
3.740	24.203	0.239
3.750	24.551	0.239
3.760	24.879	0.239
3.770	25.197	0.239
3.780	25.481	0.239
3.790	25.739	0.239
3.800	25.980	0.239
3.810	26.182	0.239
3.820	26.350	0.239
3.830	26.501	0.239
3.840	26.604	0.239
3.850	26.673	0.239
3.860	26.725	0.239
3.870	26.725	0.239
3.880	26.691	0.239
3.890	26.623	0.239
3.900	26.532	0.239
3.910	26.399	0.239
3.920	26.232	0.239
3.930	26.043	0.239
3.940	25.815	0.239
3.950	25.557	0.239
3.960	25.282	0.239
3.970	24.973	0.239
3.980	24.638	0.239
3.990	24.298	0.239
4.000	23.925	0.239
4.010	23.538	0.239
4.020	23.151	0.239
4.030	22.738	0.239
4.040	22.322	0.239
4.050	21.913	0.239
4.060	21.488	0.239
4.070	21.067	0.239
4.080	20.663	0.239
4.090	20.250	0.239
4.100	19.855	0.239
4.110	19.468	0.239
4.120	19.107	0.239
4.130	18.755	0.239
4.140	18.424	0.239
4.150	18.123	0.239
4.160	17.840	0.239
4.170	17.582	0.239
4.180	17.359	0.239
4.190	17.161	0.239
4.200	16.989	0.239
4.210	16.869	0.239
4.220	16.766	0.239
4.230	16.697	0.239
4.240	16.681	0.239
4.250	16.685	0.239
4.260	16.720	0.239
4.270	16.806	0.239
4.280	16.914	0.239
4.290	17.047	0.239
4.300	17.236	0.239
4.310	17.434	0.239
4.320	17.667	0.239
4.330	17.929	0.239
4.340	18.230	0.239
4.350	18.540	0.239
4.360	18.871	0.239
4.370	19.237	0.239
4.380	19.607	0.239
4.390	19.990	0.239
4.400	20.403	0.239
4.410	20.812	0.239
4.420	21.224	0.239
4.430	21.655	0.239
4.440	22.068	0.239
4.450	22.485	0.239
4.460	22.902	0.239
4.470	23.302	0.239
4.480	23.690	0.239
4.490	24.081	0.239
4.500	24.438	0.239
4.510	24.778	0.239
4.520	25.100	0.239
4.530	25.410	0.239
4.540	25.681	0.239
4.550	25.926	0.239
4.560	26.159	0.239
4.570	26.344	0.239
4.580	26.499	0.239
4.590	26.628	0.239
4.600	26.719	0.239
4.610	26.771	0.239
4.620	26.801	0.239
4.630	26.784	0.239
4.640	26.733	0.239
4.650	26.664	0.239
4.660	26.544	0.239
4.670	26.393	0.239
4.680	26.226	0.239
4.690	26.011	0.239
4.700	25.771	0.239
4.710	25.513	0.239
4.720	25.225	0.239
4.730	24.928	0.239
4.740	24.606	0.239
4.750	24.288	0.239
4.760	23.923	0.239
4.770	23.554	0.239
4.780	23.192	0.239
4.790	22.875	0.239
4.800	22.587	0.239
4.810	22.243	0.239
4.820	21.852	0.239
4.830	21.491	0.239
4.840	21.289	0.239
4.850	20.902	0.239
4.860	20.524	0.239
4.870	20.167	0.239
4.880	19.811	0.239
4.890	19.476	0.239
4.900	19.171	0.239
4.910	18.874	0.239
4.920	18.604	0.239
4.930	18.367	0.239
4.940	17.963	0.239
4.950	17.710	0.239
4.960	17.271	0.239
4.970	17.130	0.239
4.980	17.031	0.239
4.990	16.928	0.239
5.000	16.890	0.239
5.010	16.907	0.239
5.020	16.954	0.239
5.030	17.049	0.239
5.040	17.161	0.239
5.050	17.308	0.239
5.060	17.497	0.239
5.070	17.699	0.239
5.080	17.932	0.239
5.090	18.203	0.239
5.100	18.483	0.239
5.110	18.784	0.239
5.120	19.115	0.239
5.130	19.455	0.239
5.140	19.812	0.239
5.150	20.182	0.239
5.160	20.573	0.239
5.170	20.965	0.239
5.180	21.361	0.239
5.190	21.769	0.239
5.200	22.169	0.239
5.210	22.565	0.239
5.220	22.965	0.239
5.230	23.344	0.239
5.240	23.714	0.239
5.250	24.101	0.239
5.260	24.583	0.239
5.270	24.931	0.239
5.280	25.241	0.239
5.290	25.516	0.239
5.300	25.766	0.239
5.310	26.003	0.239
5.320	26.192	0.239
5.330	26.356	0.239
5.340	26.497	0.239
5.350	26.597	0.239
5.360	26.661	0.239
5.370	26.692	0.239
5.380	26.700	0.239
5.390	26.662	0.239
5.400	26.585	0.239
5.410	26.491	0.239
5.420	26.353	0.239
5.430	26.186	0.239
5.440	25.997	0.239
5.450	25.769	0.239
5.460	25.511	0.239
5.470	25.241	0.239
5.480	24.935	0.239
5.490	24.605	0.239
5.500	24.157	0.239
5.510	23.736	0.239
5.520	23.354	0.239
5.530	22.976	0.239
5.540	22.585	0.239
5.550	22.185	0.239
5.560	21.786	0.239
5.570	21.394	0.239
5.580	20.995	0.239
5.590	20.604	0.239
5.600	20.225	0.239
5.610	19.852	0.239
5.620	19.491	0.239
5.630	19.160	0.239
5.640	18.833	0.239
5.650	18.528	0.239
5.660	18.253	0.239
5.670	17.991	0.239
5.680	17.755	0.239
5.690	17.562	0.239
5.700	17.377	0.239
5.710	17.227	0.239
5.720	17.115	0.239
5.730	17.025	0.239
5.740	16.970	0.239
5.750	16.961	0.239
5.760	16.957	0.239
5.770	17.090	0.239
5.780	17.176	0.239
5.790	17.319	0.239
5.800	17.719	0.239
5.810	17.956	0.239
5.820	18.248	0.239
5.830	18.644	0.239
5.840	18.906	0.239
5.850	19.207	0.239
5.860	19.513	0.239
5.870	19.835	0.239
5.880	20.193	0.239
5.890	20.545	0.239
5.900	20.894	0.239
5.910	21.113	0.239
5.920	21.457	0.239
5.930	21.832	0.239
5.940	22.232	0.239
5.950	22.559	0.239
5.960	22.791	0.239
5.970	23.152	0.239
5.980	23.518	0.239
5.990	23.880	0.239
6.000	24.228	0.239
6.010	24.581	0.239
6.020	24.886	0.239
6.030	25.166	0.239
6.040	25.454	0.239
6.050	25.695	0.239
6.060	25.915	0.239
6.070	26.126	0.239
6.080	26.298	0.239
6.090	26.436	0.239
6.100	26.556	0.239
6.110	26.629	0.239
6.120	26.673	0.239
6.130	26.690	0.239
6.140	26.664	0.239
6.150	26.605	0.239
6.160	26.527	0.239
6.170	26.399	0.239
6.180	26.244	0.239
6.190	26.055	0.239
6.200	25.849	0.239
6.210	25.604	0.239
6.220	25.333	0.239
6.230	25.050	0.239
6.240	24.732	0.239
6.250	24.392	0.239
6.260	24.049	0.239
6.270	23.679	0.239
6.280	23.297	0.239
6.290	22.914	0.239
6.300	22.510	0.239
6.310	22.106	0.239
6.320	21.711	0.239
6.330	21.303	0.239
6.340	20.898	0.239
6.350	20.512	0.239
6.360	20.121	0.239
6.370	19.738	0.239
6.380	19.386	0.239
6.390	19.038	0.239
6.400	18.707	0.239
6.410	18.398	0.239
6.420	18.127	0.239
6.430	17.869	0.239
6.440	17.633	0.239
6.450	17.440	0.239
6.460	17.268	0.239
6.470	17.126	0.239
6.480	17.023	0.239
6.490	16.946	0.239
6.500	16.899	0.239
6.510	16.899	0.239
6.520	16.917	0.239
6.530	16.968	0.239
6.540	17.068	0.239
6.550	17.192	0.239
6.560	17.339	0.239
6.570	17.532	0.239
6.580	17.739	0.239
6.590	17.976	0.239
6.600	18.251	0.239
6.610	18.539	0.239
6.620	18.849	0.239
6.630	19.181	0.239
6.640	19.542	0.239
6.650	19.903	0.239
6.660	20.278	0.239
6.670	20.673	0.239
6.680	21.065	0.239
6.690	21.456	0.239
6.700	21.865	0.239
6.710	22.261	0.239
6.720	22.652	0.239
6.730	23.044	0.239
6.740	23.418	0.239
6.750	23.783	0.239
6.760	24.145	0.239
6.770	24.476	0.239
6.780	24.790	0.239
6.790	25.091	0.239
6.800	25.358	0.239
6.810	25.595	0.239
6.820	25.806	0.239
6.830	25.995	0.239
6.840	26.146	0.239
6.850	26.262	0.239
6.860	26.361	0.239
6.870	26.422	0.239
6.880	26.443	0.239
6.890	26.444	0.239
6.900	26.401	0.239
6.910	26.328	0.239
6.920	26.229	0.239
6.930	26.092	0.239
6.940	25.924	0.239
6.950	25.740	0.239
6.960	25.512	0.239
6.970	25.263	0.239
6.980	24.996	0.239
6.990	24.704	0.239
7.000	24.390	0.239
7.010	24.068	0.239
7.020	23.720	0.239
7.030	23.355	0.239
7.040	22.977	0.239
7.050	22.599	0.239
7.060	22.203	0.239
7.070	21.804	0.239
7.080	21.417	0.239
7.090	21.021	0.239
7.100	20.631	0.239
7.110	20.325	0.239
7.120	19.973	0.239
7.130	19.651	0.239
7.140	19.522	0.239
7.150	19.320	0.239
7.160	19.239	0.239
7.170	18.985	0.239
7.180	18.732	0.239
7.190	18.504	0.239
7.200	18.319	0.239
7.210	18.148	0.239
7.220	18.002	0.239
7.230	17.890	0.239
7.240	17.821	0.239
7.250	17.774	0.239
7.260	17.762	0.239
7.270	17.792	0.239
7.280	17.844	0.239
7.290	17.926	0.239
7.300	18.055	0.239
7.310	18.201	0.239
7.320	18.378	0.239
7.330	18.597	0.239
7.340	18.825	0.239
7.350	19.075	0.239
7.360	19.363	0.239
7.370	19.656	0.239
7.380	19.768	0.239
7.390	20.052	0.239
7.400	20.146	0.239
7.410	20.474	0.239
7.420	20.848	0.239
7.430	21.218	0.239
7.440	21.549	0.239
7.450	21.932	0.239
7.460	22.336	0.239
7.470	22.723	0.239
7.480	23.102	0.239
7.490	23.485	0.239
7.500	23.842	0.239
7.510	24.182	0.239
7.520	24.517	0.239
7.530	24.823	0.239
7.540	25.098	0.239
7.550	25.369	0.239
7.560	25.602	0.239
7.570	25.808	0.239
7.580	25.994	0.239
7.590	26.140	0.239
7.600	26.256	0.239
7.610	26.355	0.239
7.620	26.407	0.239
7.630	26.429	0.239
7.640	26.429	0.239
7.650	26.386	0.239
7.660	26.309	0.239
7.670	26.197	0.239
7.680	26.069	0.239
7.690	25.897	0.239
7.700	25.699	0.239
7.710	25.484	0.239
7.720	25.227	0.239
7.730	24.947	0.239
7.740	24.660	0.239
7.750	24.333	0.239
7.760	23.989	0.239
7.770	23.645	0.239
7.780	23.272	0.239
7.790	22.889	0.239
7.800	22.511	0.239
7.810	22.116	0.239
7.820	21.712	0.239
7.830	21.325	0.239
7.840	20.925	0.239
7.850	20.539	0.239
7.860	20.152	0.239
7.870	19.795	0.239
7.880	19.434	0.239
7.890	19.090	0.239
7.900	18.777	0.239
7.910	18.472	0.239
7.920	18.188	0.239
7.930	17.943	0.239
7.940	17.703	0.239
7.950	17.496	0.239
7.960	17.329	0.239
7.970	17.183	0.239
7.980	17.063	0.239
7.990	16.994	0.239
8.000	16.943	0.239
8.010	16.930	0.239
8.020	16.956	0.239
8.030	17.003	0.239
8.040	17.086	0.239
8.050	17.210	0.239
8.060	17.353	0.239
8.070	17.529	0.239
8.080	17.727	0.239
8.090	17.972	0.239
8.100	18.222	0.239
8.110	18.502	0.239
8.120	18.816	0.239
8.130	19.138	0.239
8.140	19.478	0.239
8.150	19.844	0.239
8.160	20.214	0.239
8.170	20.592	0.239
8.180	20.993	0.239
8.190	21.384	0.239
8.200	21.780	0.239
8.210	22.184	0.239
8.220	22.575	0.239
8.230	22.959	0.239
8.240	23.346	0.239
8.250	23.711	0.239
8.260	24.060	0.239
8.270	24.391	0.239
8.280	24.718	0.239
8.290	25.011	0.239
8.300	25.282	0.239
8.310	25.540	0.239
8.320	25.763	0.239
8.330	25.957	0.239
8.340	26.134	0.239
8.350	26.267	0.239
8.360	26.371	0.239
8.370	26.453	0.239
8.380	26.487	0.239
8.390	26.492	0.239
8.400	26.479	0.239
8.410	26.419	0.239
8.420	26.325	0.239
8.430	26.213	0.239
8.440	26.058	0.239
8.450	25.874	0.239
8.460	25.676	0.239
8.470	25.436	0.239
8.480	25.173	0.239
8.490	24.886	0.239
8.500	24.606	0.239
8.510	24.289	0.239
8.520	23.988	0.239
8.530	23.653	0.239
8.540	23.296	0.239
8.550	22.944	0.239
8.560	22.639	0.239
8.570	22.381	0.239
8.580	22.059	0.239
8.590	21.702	0.239
8.600	21.358	0.239
8.610	21.182	0.239
8.620	20.843	0.239
8.630	20.490	0.239
8.640	20.151	0.239
8.650	19.841	0.239
8.660	19.532	0.239
8.670	19.240	0.239
8.680	18.986	0.239
8.690	18.742	0.239
8.700	18.522	0.239
8.710	18.325	0.239
8.720	18.015	0.239
8.730	17.784	0.239
8.740	17.620	0.239
8.750	17.324	0.239
8.760	17.268	0.239
8.770	17.255	0.239
8.780	17.251	0.239
8.790	17.273	0.239
8.800	17.363	0.239
8.810	17.501	0.239
8.820	17.652	0.239
8.830	17.829	0.239
8.840	18.048	0.239
8.850	18.281	0.239
8.860	18.534	0.239
8.870	18.822	0.239
8.880	19.115	0.239
8.890	19.429	0.239
8.900	19.756	0.239
8.910	20.109	0.239
8.920	20.462	0.239
8.930	20.823	0.239
8.940	21.202	0.239
8.950	21.576	0.239
8.960	21.950	0.239
8.970	22.333	0.239
8.980	22.699	0.239
8.990	23.060	0.239
9.000	23.422	0.239
9.010	23.757	0.239
9.020	24.080	0.239
9.030	24.402	0.239
9.040	24.695	0.239
9.050	24.975	0.239
9.060	25.302	0.239
9.070	25.611	0.239
9.080	25.827	0.239
9.090	26.012	0.239
9.100	26.150	0.239
9.110	26.257	0.239
9.120	26.331	0.239
9.130	26.391	0.239
9.140	26.404	0.239
9.150	26.383	0.239
9.160	26.349	0.239
9.170	26.267	0.239
9.180	26.151	0.239
9.190	26.018	0.239
9.200	25.846	0.239
9.210	25.644	0.239
9.220	25.430	0.239
9.230	25.176	0.239
9.240	24.901	0.239
9.250	24.583	0.239
9.260	24.141	0.239
9.270	23.784	0.239
9.280	23.449	0.239
9.290	23.088	0.239
9.300	22.722	0.239
9.310	22.349	0.239
9.320	21.979	0.239
9.330	21.601	0.239
9.340	21.218	0.239
9.350	20.858	0.239
9.360	20.488	0.239
9.370	20.131	0.239
9.380	19.796	0.239
9.390	19.465	0.239
9.400	19.147	0.239
9.410	18.864	0.239
9.420	18.580	0.239
9.430	18.322	0.239
9.440	18.099	0.239
9.450	17.888	0.239
9.460	17.700	0.239
9.470	17.554	0.239
9.480	17.425	0.239
9.490	17.326	0.239
9.500	17.271	0.239
9.510	17.232	0.239
9.520	17.228	0.239
9.530	17.249	0.239
9.540	17.306	0.239
9.550	17.439	0.239
9.560	17.603	0.239
9.570	17.771	0.239
9.580	17.960	0.239
9.590	18.184	0.239
9.600	18.657	0.239
9.610	18.963	0.239
9.620	19.255	0.239
9.630	19.574	0.239
9.640	19.887	0.239
9.650	20.206	0.239
9.660	20.550	0.239
9.670	20.894	0.239
9.680	21.251	0.239
9.690	21.591	0.239
9.700	21.807	0.239
9.710	22.138	0.239
9.720	22.499	0.239
9.730	22.856	0.239
9.740	23.209	0.239
9.750	23.558	0.239
9.760	23.910	0.239
9.770	24.233	0.239
9.780	24.521	0.239
9.790	24.818	0.239
9.800	25.085	0.239
9.810	25.321	0.239
9.820	25.558	0.239
9.830	25.760	0.239
9.840	25.937	0.239
9.850	26.096	0.239
9.860	26.212	0.239
9.870	26.299	0.239
9.880	26.368	0.239
9.890	26.390	0.239
9.900	26.381	0.239
9.910	26.356	0.239
9.920	26.287	0.239
9.930	26.184	0.239
9.940	26.051	0.239
9.950	25.905	0.239
9.960	25.716	0.239
9.970	25.497	0.239
9.980	25.269	0.239
9.990	25.003	0.239
10.000	24.715	0.239
10.010	24.418	0.239
10.020	24.092	0.239
10.030	23.748	0.239
10.040	23.409	0.239
10.050	23.043	0.239
10.060	22.665	0.239
10.070	22.300	0.239
10.080	21.913	0.239
10.090	21.531	0.239
10.100	21.161	0.239
10.110	20.779	0.239
10.120	20.405	0.239
10.130	20.057	0.239
10.140	19.704	0.239
10.150	19.369	0.239
10.160	19.047	0.239
10.170	18.759	0.239
10.180	18.476	0.239
10.190	18.218	0.239
10.200	17.999	0.239
10.210	17.788	0.239
10.220	17.608	0.239
10.230	17.462	0.239
10.240	17.342	0.239
10.250	17.247	0.239
10.260	17.200	0.239
10.270	17.170	0.239
10.280	17.175	0.239
10.290	17.218	0.239
10.300	17.279	0.239
10.310	17.373	0.239
10.320	17.507	0.239
10.330	17.658	0.239
10.340	17.838	0.239
10.350	18.049	0.239
10.360	18.294	0.239
10.370	18.553	0.239
10.380	18.837	0.239
10.390	19.146	0.239
10.400	19.465	0.239
10.410	19.796	0.239
10.420	20.153	0.239
10.430	20.510	0.239
10.440	20.871	0.239
10.450	21.254	0.239
10.460	21.624	0.239
10.470	21.999	0.239
10.480	22.381	0.239
10.490	22.747	0.239
10.500	23.109	0.239
10.510	23.470	0.239
10.520	23.806	0.239
10.530	24.124	0.239
10.540	24.442	0.239
10.550	24.731	0.239
10.560	24.997	0.239
10.570	25.243	0.239
10.580	25.462	0.239
10.590	25.643	0.239
10.600	25.802	0.239
10.610	25.940	0.239
10.620	26.035	0.239
10.630	26.104	0.239
10.640	26.156	0.239
10.650	26.156	0.239
10.660	26.130	0.239
10.670	26.087	0.239
10.680	26.002	0.239
10.690	25.886	0.239
10.700	25.753	0.239
10.710	25.581	0.239
10.720	25.383	0.239
10.730	25.173	0.239
10.740	24.924	0.239
10.750	24.653	0.239
10.760	24.378	0.239
10.770	24.073	0.239
10.780	23.746	0.239
10.790	23.411	0.239
10.800	23.076	0.239
10.810	22.724	0.239
10.820	22.358	0.239
10.830	22.002	0.239
10.840	21.628	0.239
10.850	21.254	0.239
10.860	20.893	0.239
10.870	20.528	0.239
10.880	20.171	0.239
10.890	19.836	0.239
10.900	19.501	0.239
10.910	19.248	0.239
10.920	18.990	0.239
10.930	18.745	0.239
10.940	18.676	0.239
10.950	18.569	0.239
10.960	18.475	0.239
10.970	18.436	0.239
10.980	18.294	0.239
10.990	18.187	0.239
11.000	18.097	0.239
11.010	18.037	0.239
11.020	18.024	0.239
11.030	18.025	0.239
11.040	18.059	0.239
11.050	18.137	0.239
11.060	18.227	0.239
11.070	18.348	0.239
11.080	18.507	0.239
11.090	18.683	0.239
11.100	18.882	0.239
11.110	19.114	0.239
11.120	19.179	0.239
11.130	19.394	0.239
11.140	19.678	0.239
11.150	19.747	0.239
11.160	20.026	0.239
11.170	20.358	0.239
11.180	20.698	0.239
11.190	21.003	0.239
11.200	21.352	0.239
11.210	21.730	0.239
11.220	22.100	0.239
11.230	22.466	0.239
11.240	22.840	0.239
11.250	23.197	0.239
11.260	23.541	0.239
11.270	23.881	0.239
11.280	24.195	0.239
11.290	24.497	0.239
11.300	24.785	0.239
11.310	25.038	0.239
11.320	25.271	0.239
11.330	25.490	0.239
11.340	25.667	0.239
11.350	25.822	0.239
11.360	25.956	0.239
11.370	26.055	0.239
11.380	26.119	0.239
11.390	26.154	0.239
11.400	26.172	0.239
11.410	26.146	0.239
11.420	26.086	0.239
11.430	26.009	0.239
11.440	25.893	0.239
11.450	25.747	0.239
11.460	25.584	0.239
11.470	25.382	0.239
11.480	25.158	0.239
11.490	24.918	0.239
11.500	24.647	0.239
11.510	24.350	0.239
11.520	24.050	0.239
11.530	23.723	0.239
11.540	23.380	0.239
11.550	23.036	0.239
11.560	22.670	0.239
11.570	22.301	0.239
11.580	21.936	0.239
11.590	21.562	0.239
11.600	21.184	0.239
11.610	20.810	0.239
