Motion Sensor Data File Sep 20, 2018 1:40 PM
Time (s)	Distance (cm)	Dist Error (cm)
3.050	25.252	0.239
3.060	24.925	0.239
3.070	24.568	0.239
3.080	24.207	0.239
3.090	23.816	0.239
3.100	23.404	0.239
3.110	22.996	0.239
3.120	22.562	0.239
3.130	22.119	0.239
3.140	21.689	0.239
3.150	21.242	0.239
3.160	20.800	0.239
3.170	20.374	0.239
3.180	19.949	0.239
3.190	19.528	0.239
3.200	19.137	0.239
3.210	18.754	0.239
3.220	18.398	0.239
3.230	18.062	0.239
3.240	17.766	0.239
3.250	17.491	0.239
3.260	17.246	0.239
3.270	17.049	0.239
3.280	16.864	0.239
3.290	16.722	0.239
3.300	16.628	0.239
3.310	16.555	0.239
3.320	16.521	0.239
3.330	16.543	0.239
3.340	16.586	0.239
3.350	16.668	0.239
3.360	16.801	0.239
3.370	16.960	0.239
3.380	17.158	0.239
3.390	17.404	0.239
3.400	17.666	0.239
3.410	17.955	0.239
3.420	18.269	0.239
3.430	18.622	0.239
3.440	18.983	0.239
3.450	19.365	0.239
3.460	19.779	0.239
3.470	20.196	0.239
3.480	20.622	0.239
3.490	21.069	0.239
3.500	21.508	0.239
3.510	21.947	0.239
3.520	22.398	0.239
3.530	22.829	0.239
3.540	23.250	0.239
3.550	23.672	0.239
3.560	24.063	0.239
3.570	24.437	0.239
3.580	24.803	0.239
3.590	25.130	0.239
3.600	25.431	0.239
3.610	25.702	0.239
3.620	25.961	0.239
3.630	26.172	0.239
3.640	26.353	0.239
3.650	26.507	0.239
3.660	26.615	0.239
3.670	26.684	0.239
3.680	26.723	0.239
3.690	26.719	0.239
3.700	26.668	0.239
3.710	26.599	0.239
3.720	26.470	0.239
3.730	26.311	0.239
3.740	26.127	0.239
3.750	25.890	0.239
3.760	25.628	0.239
3.770	25.345	0.239
3.780	25.023	0.239
3.790	24.675	0.239
3.800	24.309	0.239
3.810	23.936	0.239
3.820	23.531	0.239
3.830	23.110	0.239
3.840	22.698	0.239
3.850	22.255	0.239
3.860	21.813	0.239
3.870	21.379	0.239
3.880	20.936	0.239
3.890	20.498	0.239
3.900	20.081	0.239
3.910	19.664	0.239
3.920	19.260	0.239
3.930	18.886	0.239
3.940	18.525	0.239
3.950	18.186	0.239
3.960	17.885	0.239
3.970	17.602	0.239
3.980	17.348	0.239
3.990	17.138	0.239
4.000	16.944	0.239
4.010	16.794	0.239
4.020	16.678	0.239
4.030	16.610	0.239
4.040	16.567	0.239
4.050	16.563	0.239
4.060	16.610	0.239
4.070	16.688	0.239
4.080	16.795	0.239
4.090	16.955	0.239
4.100	17.140	0.239
4.110	17.355	0.239
4.120	17.618	0.239
4.130	17.897	0.239
4.140	18.203	0.239
4.150	18.547	0.239
4.160	18.900	0.239
4.170	19.278	0.239
4.180	19.687	0.239
4.190	20.096	0.239
4.200	20.517	0.239
4.210	20.943	0.239
4.220	21.395	0.239
4.230	21.829	0.239
4.240	22.264	0.239
4.250	22.707	0.239
4.260	23.133	0.239
4.270	23.542	0.239
4.280	23.950	0.239
4.290	24.324	0.239
4.300	24.677	0.239
4.310	25.021	0.239
4.320	25.327	0.239
4.330	25.606	0.239
4.340	25.869	0.239
4.350	26.089	0.239
4.360	26.274	0.239
4.370	26.437	0.239
4.380	26.554	0.239
4.390	26.631	0.239
4.400	26.670	0.239
